,name,mass,radius,orbper
437,HATS-77 b,1.374,1.165,3.0876262
438,HATS-8 b,0.138,0.873,3.583893
439,HATS-9 b,0.837,1.236,1.915291
440,HD 100655 b,1.7,,157.57
441,HD 100777 b,1.16,,383.7
442,HD 10180 c,0.041217,,5.75979
443,HD 10180 d,0.03696945,,16.3579
444,HD 10180 e,0.07897304,,49.745
445,HD 10180 f,0.07519743,,122.76
446,HD 10180 g,0.06733159,,601.2
447,HD 10180 h,0.202624,,2222.0
448,HD 101930 b,0.3,,70.46
449,HD 102117 b,0.172,,20.67
450,HD 102195 b,0.49,,4.114
451,HD 102272 b,5.9,,127.58
452,HD 102272 c,2.6,,520.0
453,HD 102329 b,5.9,,778.1
454,HD 102329 c,1.52,,1123.0
455,HD 102365 A b,0.05,,122.1
456,HD 102843 b,0.3584,,3090.9
457,HD 102956 b,0.96,,6.4947
458,HD 103197 b,0.098,,47.84
459,HD 103720 b,0.62,,4.5557
460,HD 103774 A b,0.367,,5.8881
461,HD 103891 b,1.44,,1919.0
462,HD 103949 b,0.0352,,120.878
463,HD 104067 b,0.186,,55.806
464,HD 10442 b,2.1,,1043.0
465,HD 104985 b,8.3,,199.505
466,HD 105779 b,0.64,,2412.0
467,HD 106252 b,7.56,,1600.0
468,HD 106270 b,11.0,,2890.0
469,HD 106315 b,0.03964,0.218,9.55237
470,HD 106315 c,0.04782,0.388,21.05704
471,HD 10647 b,0.93,,1003.0
472,HD 106515 A b,9.61,,3630.0
473,HD 106574 b,8.5,,1065.7
474,HD 106906 (AB) b,11.0,,
475,HD 10697 b,6.383,1.152,1075.69
476,HD 107148 b,0.21,,48.056
477,HD 107148 c,0.0626,,18.3267
478,HD 108147 b,0.261,,10.8985
479,HD 108341 A b,3.5,,1129.0
480,HD 108863 b,2.6,,443.4
481,HD 108874 b,1.36,,395.4
482,HD 108874 c,1.018,,1605.8
483,HD 109246 b,0.77,,68.27
484,HD 109271 b,0.054,,7.8543
485,HD 109271 c,0.076,,30.93
486,HD 109286 b,2.99,,520.1
487,HD 109749 b,0.28,0.99,5.23921
488,HD 10975 b,0.45,,283.8
489,HD 110014 b,11.09,,835.477
490,HD 110014 c,3.1,,130.0
491,HD 110113 b,0.01432,0.1829,2.541
492,HD 110113 c,0.033,,6.744
493,HD 111232 b,6.8,,1143.0
494,HD 111591 b,4.4,,1056.4
495,HD 11231 b,0.434,,5.2049
496,HD 112640 b,5.0,,613.2
497,HD 113337 b,3.1,,323.4
498,HD 113337 c,7.2,,3264.7
499,HD 113538 b,0.36,,663.2
500,HD 113538 c,0.93,,1818.0
501,HD 113996 b,6.3,,610.2
502,HD 114386 b,1.24,,937.0
503,HD 114386 c,1.19,,1046.0
