solution_id,ra,dec,parallax,pm,pmra,pmdec,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,phot_variable_flag,l,b,non_single_star,has_rvs,teff_gspphot,logg_gspphot
1636148068921376768,65.84974595899124,14.427849817287893,21.16004577091608,112.93881,110.94351874539676,-21.135525821762922,72036.04395406708,13.543492,11135.854004402661,15.221733,95684.85810943141,12.295788,2.9259453,1.6782408,1.2477045,38.10392,"NOT_AVAILABLE",180.7017307205916,-23.904914192938516,1,true,,
1636148068921376768,65.68458418346766,15.056034383369543,21.18773295114552,115.1014,114.26697815985807,-13.83439728546639,2.627630400182881E7,7.1384563,1.8191988986001644E7,7.188842,2.1229500504142817E7,6.4305463,0.75829554,0.050385475,0.70791006,,"NOT_AVAILABLE",180.05913469498924,-23.63237452336553,0,false,5899.541,4.1055
1636148068921376768,66.57982992496277,17.05047474838996,21.204050746536424,105.6978,101.85154123967045,-28.253993605040456,5489.836651709742,16.338469,521.2280867345663,18.545973,8158.214400728574,14.968907,3.5770655,2.2075043,1.3695612,,"NOT_AVAILABLE",178.97958499133802,-21.70217219829861,0,false,,
1636148068921376768,66.31936239676666,16.3022336834695,21.250239265348167,111.5834,108.55029876049758,-25.83963038411747,18857.632045268776,14.998649,2638.3561573923175,16.785208,25597.49415849827,13.727402,3.057806,1.7865591,1.2712469,37.492264,"VARIABLE",179.4324623284737,-22.369926934832122,0,false,,
1636148068921376768,66.90003194033417,15.589085472787543,21.284016509945314,107.85219,105.16744918201684,-23.914466137534937,2.286927525473201E7,7.289236,1.3032352013434784E7,7.5509853,1.4274254138352651E7,6.8615117,0.6894736,0.26174927,0.42772436,39.240513,"NOT_AVAILABLE",180.41177419490535,-22.386207395515967,0,true,6069.8384,4.2261
1636148068921376768,67.53644292906253,15.638138535832299,21.33769931920589,107.030396,102.35615515978775,-31.284551584279907,1.2512476059579903E7,7.944009,,,,,,,,,"NOT_AVAILABLE",180.78382923787348,-21.87698474340547,0,false,,
1636148068921376768,68.24817726690902,15.818854771000632,21.35731378098158,103.55771,100.37574321605689,-25.473691498986692,7668399.672412407,8.475605,3966682.5103526376,8.842474,5296013.697306244,7.9380226,0.9044514,0.36686897,0.5375824,40.729515,"VARIABLE",181.08857129841567,-21.227627771585727,0,true,5531.1387,4.4374
1636148068921376768,67.51789320736421,16.06860426033561,21.387746214507576,110.05449,94.67902202409914,-56.10590490928818,4507.91597703196,16.552427,375.4469339601548,18.90217,6910.582225137473,15.149109,3.7530613,2.349743,1.4033184,,"VARIABLE",180.4095556451877,-21.62247892892491,0,false,,
1636148068921376768,66.5869485853136,15.618207900194715,21.3957803576917,89.91668,87.43530172194305,-20.978016384764466,3.254471425102757E8,4.4061656,2.065016111661597E8,4.551234,1.6979219857559383E8,4.173101,0.37813282,0.14506817,0.23306465,,"NOT_AVAILABLE",180.18225967449226,-22.602566472245428,0,false,7390.374,3.5076
1636148068921376768,66.46067898955343,15.002464972130216,21.39808326312012,109.415794,107.05284803871862,-22.616431639961323,23720.797512241297,14.749543,3390.6137975131073,16.512846,31961.122442398468,13.4863405,3.0265055,1.7633028,1.2632027,38.505806,"NOT_AVAILABLE",180.61901683608306,-23.084194149714982,0,false,,
